"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"gene122211",1.37944089217309e-108,0.810805991417895,0.764,0.247,2.71991671746497e-102,"1","gene12221"
"gene23291",1.53602594278059e-106,0.87827028721971,0.747,0.241,3.02866376075546e-100,"1","gene2329"
"gene114221",6.81073012619962e-92,0.784993292512512,0.713,0.242,1.34290775585245e-85,"1","gene11422"
"ATRX",2.47814913012177e-86,0.662215992046692,0.737,0.201,4.88629798176498e-80,"3","ATRX"
"CBS",2.01754800822377e-82,0.0852967063421615,0.756,0.222,3.97810633785924e-76,"3","CBS"
"LOC126347783",3.36619580667091e-78,0.123765907719445,0.733,0.212,6.63730668039078e-72,"3","LOC126347783"
"gene3824",1.07435749849853e-74,0.068729289120312,0.707,0.199,2.11836762073697e-68,"3","gene3824"
"RBM39",2.28125752593793e-214,2.22129382658317,0.901,0.102,4.49807637054069e-208,"4","RBM39"
"SMYD4",1.40394988121479e-150,2.33940136467861,0.97,0.238,2.76824239013491e-144,"4","SMYD4"
"AUB",1.1273761826533e-91,0.973402948934198,0.842,0.216,2.22290737027519e-85,"4","AUB"
"gene14320",2.38231952831499e-79,0.92756360411532,0.734,0.184,4.69734567691366e-73,"4","gene14320"
"gene8290",1.03598347844154e-78,0.802729042211737,0.729,0.173,2.04270353156755e-72,"4","gene8290"
"PSMD10",2.70465626108027e-68,0.953563942034362,0.754,0.227,5.3329140967538e-62,"4","PSMD10"
"ERCC1",1.89929101348047e-59,0.611849785078114,0.749,0.232,3.74493275370316e-53,"4","ERCC1"
"PPIL3",1.0446923419361e-58,0.531343479548287,0.764,0.248,2.05987525928953e-52,"4","PPIL3"
"gene8030",2.09392374045628e-57,0.686915243629731,0.709,0.221,4.12870041701588e-51,"4","gene8030"
"gene1954",1.56152992049711e-53,0.721305941840592,0.704,0.229,3.07895130532993e-47,"4","gene1954"
"gene108142",8.99722631995268e-100,1.2902710089595,0.827,0.146,1.77403079880457e-93,"5","gene10814"
