"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"UCP2",2.52906680915308e-121,1.59455607850769,0.938,0.102,4.98669506814801e-115,"10","UCP2"
"gene6092",2.57244007584305e-121,1.70572118774843,0.827,0.078,5.07221643686376e-115,"10","gene6092"
"TBC1D23",2.67749144244102e-121,1.4449504888113,0.84,0.076,5.2793517841074e-115,"10","TBC1D23"
"gene15991",2.74594124328761e-121,1.88136548164608,0.877,0.094,5.41431788427608e-115,"10","gene1599"
"gene3728",3.18046433385233e-121,2.18313761238466,0.914,0.101,6.27109009166633e-115,"10","gene3728"
"gene43661",3.59856133540823e-121,1.69169776171084,0.864,0.085,7.09547410877518e-115,"10","gene4366"
"gene8526",3.7676140426475e-121,2.0335635830393,0.901,0.101,7.42880429143233e-115,"10","gene8526"
"gene2821",4.14612009873853e-121,1.62368477803243,0.926,0.101,8.17512474304799e-115,"10","gene2821"
"ACN91",4.9586503979994e-121,2.48305671683502,0.975,0.126,9.77723379820651e-115,"10","ACN9"
"gene7847",6.07083237112261e-121,1.70961286898574,0.852,0.083,1.19701819402581e-114,"10","gene7847"
"gene17271",6.10349690057511e-121,1.53721282280728,0.877,0.088,1.20345883241997e-114,"10","gene1727"
"gene132061",7.5162823097123e-121,2.75119082252449,0.975,0.132,1.48202521930222e-114,"10","gene13206"
"gene71031",8.26870048409055e-121,2.23623963061308,0.951,0.116,1.6303834985607e-114,"10","gene7103"
"gene2947",9.47154423149499e-121,2.00872785100378,0.914,0.103,1.86755457530829e-114,"10","gene2947"
"RFWD22",9.97438987791351e-121,2.27946087483457,0.938,0.114,1.96670331649456e-114,"10","RFWD2"
"MAU2",1.01675727709186e-120,2.05562358782176,0.926,0.108,2.0047942113777e-114,"10","MAU2"
"gene48381",1.13441818158739e-120,2.19201233308427,0.889,0.096,2.23679245279948e-114,"10","gene4838"
"CYB561D2.11",1.91560382501242e-120,1.80759702667507,0.914,0.102,3.77709758877971e-114,"10","CYB561D2.1"
"DLGAP1",2.13509691106863e-120,1.6582207641445,0.926,0.102,4.2098837396903e-114,"10","DLGAP1"
"gene36231",2.21079052912011e-120,2.2120481442066,0.901,0.1,4.35913285816416e-114,"10","gene3623"
"MPI1",2.73270688516312e-120,1.61017654207583,0.864,0.085,5.38822299894104e-114,"10","MPI"
